31,1,2.5
1029,1,3.0
1061,1,3.0
1129,1,2.0
1172,1,4.0
1263,1,2.0
1287,1,2.0
1293,1,2.0
1339,1,3.5
1343,1,2.0
1371,1,2.5
1405,1,1.0
1953,1,4.0
2105,1,4.0
2150,1,3.0
2193,1,2.0
2294,1,2.0
2455,1,2.5
2968,1,1.0
3671,1,3.0
10,2,4.0
17,2,5.0
39,2,5.0
47,2,4.0
50,2,4.0
52,2,3.0
62,2,3.0
110,2,4.0
144,2,3.0
150,2,5.0
153,2,4.0
161,2,3.0
165,2,3.0
168,2,3.0
185,2,3.0
186,2,3.0
208,2,3.0
222,2,5.0
223,2,1.0
225,2,3.0
235,2,3.0
248,2,3.0
253,2,4.0
261,2,4.0
265,2,5.0
266,2,5.0
272,2,3.0
273,2,4.0
292,2,3.0
296,2,4.0
300,2,3.0
314,2,4.0
317,2,2.0
319,2,1.0
339,2,3.0
349,2,4.0
350,2,4.0
356,2,3.0
357,2,3.0
364,2,3.0
367,2,3.0
370,2,2.0
371,2,3.0
372,2,3.0
377,2,3.0
382,2,3.0
405,2,2.0
410,2,3.0
454,2,4.0
457,2,3.0
468,2,4.0
474,2,2.0
480,2,4.0
485,2,3.0
497,2,3.0
500,2,4.0
508,2,4.0
509,2,4.0
515,2,4.0
527,2,4.0
537,2,4.0
539,2,3.0
550,2,3.0
551,2,5.0
552,2,3.0
585,2,5.0
586,2,3.0
587,2,3.0
588,2,3.0
589,2,5.0
590,2,5.0
592,2,5.0
593,2,3.0
616,2,3.0
661,2,4.0
720,2,4.0
60,3,3.0
110,3,4.0
247,3,3.5
267,3,3.0
296,3,4.5
318,3,5.0
355,3,2.5
356,3,5.0
377,3,2.5
527,3,3.0
588,3,3.0
592,3,3.0
593,3,3.0
595,3,2.0
736,3,3.5
778,3,4.0
866,3,3.0
1197,3,5.0
1210,3,3.0
1235,3,4.0
1271,3,3.0
1378,3,4.0
1580,3,3.5
1721,3,4.5
1884,3,4.0
2028,3,4.0
2318,3,4.0
2513,3,3.0
